Bloodroot,Sanguinaria canadensis,4,Mostly Shady,2.44,03/15/2006,true
Columbine,Aquilegia canadensis,3,Mostly Shady,9.37,03/06/2006,true
Marsh Marigold,Caltha palustris,4,Mostly Sunny,6.81,05/17/2006,false
Cowslip,Caltha palustris,4,Mostly Shady,9.90,03/06/2006,true
Dutchman's-Breeches,Dicentra cucullaria,3,Mostly Shady,6.44,01/20/2006,true
"Ginger, Wild",Asarum canadense,3,Mostly Shady,9.03,04/18/2006,true
Hepatica,Hepatica americana,4,Mostly Shady,4.45,01/26/2006,true
Liverleaf,Hepatica americana,4,Mostly Shady,3.99,01/02/2006,true
Jack-In-The-Pulpit,Arisaema triphyllum,4,Mostly Shady,3.23,02/01/2006,true
Mayapple,Podophyllum peltatum,3,Mostly Shady,2.98,06/05/2006,true
"Phlox, Woodland",Phlox divaricata,3,Sun or Shade,2.80,01/22/2006,false
"Phlox, Blue",Phlox divaricata,3,Sun or Shade,5.59,02/16/2006,false
Spring-Beauty,Claytonia Virginica,7,Mostly Shady,6.59,02/01/2006,true
Trillium,Trillium grandiflorum,5,Sun or Shade,3.90,04/29/2006,false
Wake Robin,Trillium grandiflorum,5,Sun or Shade,3.20,02/21/2006,false
"Violet, Dog-Tooth",Erythronium americanum,4,Shade,9.04,02/01/2006,true
Trout Lily,Erythronium americanum,4,Shade,6.94,03/24/2006,true
Adder's-Tongue,Erythronium americanum,4,Shade,9.58,04/13/2006,true
Anemone,Anemone blanda,6,Mostly Shady,8.86,12/26/2006,true
Grecian Windflower,Anemone blanda,6,Mostly Shady,9.16,07/10/2006,true
Bee Balm,Monarda didyma,4,Shade,4.59,05/03/2006,true
Bergamot,Monarda didyma,4,Shade,7.16,04/27/2006,true
Black-Eyed Susan,Rudbeckia hirta,Annual,Sunny,9.80,06/18/2006,false
Buttercup,Ranunculus,4,Shade,2.57,06/10/2006,true
Crowfoot,Ranunculus,4,Shade,9.34,04/03/2006,true
Butterfly Weed,Asclepias tuberosa,Annual,Sunny,2.78,06/30/2006,false
Cinquefoil,Potentilla,Annual,Shade,7.06,05/25/2006,true
Primrose,Oenothera,3 - 5,Sunny,6.56,01/30/2006,false
Gentian,Gentiana,4,Sun or Shade,7.81,05/18/2006,false
Blue Gentian,Gentiana,4,Sun or Shade,8.56,05/02/2006,false
Jacob's Ladder,Polemonium caeruleum,Annual,Shade,9.26,02/21/2006,true
Greek Valerian,Polemonium caeruleum,Annual,Shade,4.36,07/14/2006,true
California Poppy,Eschscholzia californica,Annual,Sunny,7.89,03/27/2006,false
Shooting Star,Dodecatheon,Annual,Mostly Shady,8.60,05/13/2006,true
Snakeroot,Cimicifuga,Annual,Shade,5.63,07/11/2006,true
Cardinal Flower,Lobelia cardinalis,2,Shade,3.02,02/22/2006,true
